"finnish","swedish","english"
"avoin_yliopisto","öppna_universitetet","open_universituy"
"erilliset_opinto_oikeudet","fristående_studier","optional_studies"
"suoritteet","prestationer","achievements"
"toimipisteet","verksamhetsställen","campus"
"avoin_amk","öppna_yrkeshögskolan","open_polytechnic_university"
"amk_talous","yh_ekonomi","polytechnic_university_economy"
"koulutusluokitus","utbildningsklassificering","education_classification"
"yo_talous","universitetet_ekonomi","university_economy"
"suorittanut55","genomförda55","achieved55"
"ytl_arvosanat","summa_vitsord","sum_grades"
"harjoittelukoulut","övningsskolor","internship_schools"
"alayksikkokoodisto","underenhestkoder","subunitcodes"
"koulutuksenkustannukset","bildningsutgifter","educational_expences"
"toimitilat","undervisningsutrymmen","tuituion_premisses"
"henkilosto","personal","staff"
"muu_henkilosto_amk","övrig_personal_yh","other_university_staff"
"taydennyskoulutukset","fortbildning","additional_education"
"opinnaytetyot","avhandlingar","thesises"
"julkaisut","publikationer","publications"
"mies","man","man"
"nainen","kvinna","woman"
"tilastovuosi","statisikår","statistical year"
"yliopisto","universitet","university"
"suorittaneidenLkm","antal_genomförda","number_of_passed"
